time,pedID,posX,posY
12.50,0,2.63,9.91
13.00,0,2.63,9.63
13.50,0,2.63,9.35
14.00,0,2.63,9.06
14.50,0,2.63,8.78
14.50,1,3.34,10.06
15.00,0,2.63,8.50
15.00,1,3.34,9.78
15.50,0,2.63,8.21
15.50,1,3.34,9.49
15.50,2,4.26,10.06
16.00,0,2.63,7.93
16.00,1,3.34,9.21
16.00,2,4.26,9.78
16.00,3,1.43,9.99
16.50,0,2.63,7.64
16.50,1,3.34,8.93
16.50,2,4.26,9.49
16.50,3,1.43,9.70
17.00,0,2.63,7.36
17.00,1,3.34,8.64
17.00,2,4.26,9.21
17.00,3,1.43,9.42
17.50,0,2.63,7.08
17.50,1,3.34,8.36
17.50,2,4.26,8.93
17.50,3,1.43,9.14
17.50,4,3.59,10.06
18.00,0,2.63,6.79
18.00,1,3.34,8.07
18.00,2,4.26,8.64
18.00,3,1.43,8.85
18.00,4,3.59,9.78
18.50,0,2.63,6.51
18.50,1,3.34,7.79
18.50,2,4.26,8.36
18.50,3,1.43,8.57
18.50,4,3.59,9.49
19.00,0,2.63,6.22
19.00,1,3.34,7.51
19.00,2,4.26,8.07
19.00,3,1.43,8.28
19.00,4,3.59,9.21
19.00,7,1.24,9.84
19.50,0,2.63,5.94
19.50,1,3.34,7.22
19.50,2,4.26,7.79
19.50,3,1.43,8.00
19.50,4,3.59,8.93
19.50,5,2.36,9.85
19.50,7,1.24,9.56
20.00,0,2.63,5.66
20.00,1,3.34,6.94
20.00,2,4.26,7.51
20.00,3,1.43,7.72
20.00,4,3.59,8.64
20.00,5,2.36,9.57
20.00,7,1.24,9.27
20.50,0,2.63,5.18
20.50,1,3.34,6.65
20.50,2,4.26,7.22
20.50,3,1.43,7.43
20.50,4,3.59,8.36
20.50,5,2.36,9.28
20.50,6,1.34,9.85
20.50,7,1.24,8.99
21.00,0,2.63,4.68
21.00,1,3.34,6.37
21.00,2,4.26,6.94
21.00,3,1.43,7.15
21.00,4,3.59,8.07
21.00,5,2.36,9.00
21.00,6,1.34,9.57
21.00,7,1.24,8.71
21.00,8,3.20,9.99
21.50,0,2.63,4.18
21.50,1,3.34,6.09
21.50,2,4.26,6.65
21.50,3,1.43,6.87
21.50,4,3.59,7.79
21.50,5,2.36,8.72
21.50,6,1.34,9.28
21.50,7,1.24,8.42
21.50,8,3.20,9.70
22.00,0,2.61,3.71
22.00,1,3.34,5.80
22.00,2,4.26,6.37
22.00,3,1.43,6.58
22.00,4,3.59,7.51
22.00,5,2.36,8.43
22.00,6,1.34,9.00
22.00,7,1.24,8.14
22.00,8,3.20,9.42
22.50,0,2.51,3.49
22.50,1,3.34,5.44
22.50,2,4.26,6.09
22.50,3,1.43,6.30
22.50,4,3.59,7.22
22.50,5,2.36,8.15
22.50,6,1.34,8.72
22.50,7,1.24,7.85
22.50,8,3.20,9.14
22.50,9,2.34,10.06
23.00,0,2.33,3.32
23.00,1,3.34,4.94
23.00,2,4.26,5.80
23.00,3,1.43,6.01
23.00,4,3.59,6.94
23.00,5,2.36,7.86
23.00,6,1.34,8.43
23.00,7,1.24,7.57
23.00,8,3.20,8.85
23.00,9,2.34,9.78
23.00,10,4.28,9.99
23.50,0,2.17,3.13
23.50,1,3.34,4.44
23.50,2,4.26,5.44
23.50,3,1.43,5.73
23.50,4,3.59,6.65
23.50,5,2.36,7.58
23.50,6,1.34,8.15
23.50,7,1.24,7.29
23.50,8,3.20,8.57
23.50,9,2.34,9.49
